subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0103	1	(6,40]	48	340	388	351	351	349	2	351	0	0
subsample_0104	1	[0,2]	89	3	92	1	1	1	0	1	0	0
subsample_0104	1	(2,6]	54	190	244	5	5	5	0	5	0	0
subsample_0104	1	(6,40]	68	276	344	299	299	282	17	299	0	0
subsample_0105	1	[0,2]	102	11	113	6	6	6	0	6	0	0
subsample_0105	1	(2,6]	76	150	226	2	2	2	0	2	0	0
subsample_0105	1	(6,40]	32	240	272	257	257	242	15	257	0	0
subsample_0106	1	[0,2]	185	24	209	6	6	6	0	6	0	0
subsample_0106	1	(2,6]	78	251	329	3	3	3	0	3	0	0
subsample_0106	1	(6,40]	31	337	368	347	347	331	16	347	0	0
subsample_0107	1	[0,2]	88	7	95	0	0	0	0	0	0	0
subsample_0107	1	(2,6]	58	59	117	1	1	1	0	1	0	0
subsample_0107	1	(6,40]	23	360	383	213	213	192	21	213	0	0
subsample_0108	1	[0,2]	118	14	132	3	3	3	0	3	0	0
subsample_0108	1	(2,6]	56	84	140	7	7	7	0	7	0	0
subsample_0108	1	(6,40]	54	367	421	359	359	346	13	359	0	0
subsample_0109	1	[0,2]	98	21	119	5	5	5	0	5	0	0
subsample_0109	1	(2,6]	99	120	219	5	5	5	0	5	0	0
subsample_0109	1	(6,40]	54	382	436	361	361	329	32	361	0	0
subsample_0110	1	[0,2]	76	14	90	0	0	0	0	0	0	0
subsample_0110	1	(2,6]	57	111	168	9	9	9	0	9	0	0
subsample_0110	1	(6,40]	49	259	308	297	297	278	19	297	0	0
subsample_0111	1	[0,2]	107	25	132	0	0	0	0	0	0	0
subsample_0111	1	(2,6]	35	81	116	4	4	4	0	4	0	0
subsample_0111	1	(6,40]	65	276	341	282	282	269	13	282	0	0
subsample_0112	1	[0,2]	97	18	115	1	1	1	0	1	0	0
subsample_0112	1	(2,6]	43	169	212	8	8	8	0	8	0	0
subsample_0112	1	(6,40]	65	405	470	364	364	343	21	364	0	0
subsample_0113	1	[0,2]	110	26	136	5	5	5	0	5	0	0
subsample_0113	1	(2,6]	72	232	304	19	19	19	0	19	0	0
subsample_0113	1	(6,40]	27	261	288	334	334	294	40	334	0	0
subsample_0114	1	[0,2]	117	18	135	2	2	2	0	2	0	0
subsample_0114	1	(2,6]	77	137	214	4	4	4	0	4	0	0
subsample_0114	1	(6,40]	45	213	258	327	327	300	27	327	0	0
subsample_0115	1	[0,2]	112	26	138	0	0	0	0	0	0	0
subsample_0115	1	(2,6]	62	206	268	6	6	6	0	6	0	0
subsample_0115	1	(6,40]	35	402	437	368	368	331	37	368	0	0
subsample_0116	1	[0,2]	181	7	188	2	2	2	0	2	0	0
subsample_0116	1	(2,6]	81	193	274	8	8	8	0	8	0	0
subsample_0116	1	(6,40]	45	415	460	440	440	423	17	440	0	0
subsample_0117	1	[0,2]	137	38	175	0	0	0	0	0	0	0
subsample_0117	1	(2,6]	61	174	235	2	2	2	0	2	0	0
subsample_0117	1	(6,40]	38	350	388	356	356	338	18	356	0	0
subsample_0118	1	[0,2]	105	15	120	5	5	5	0	5	0	0
subsample_0118	1	(2,6]	52	98	150	6	6	6	0	6	0	0
subsample_0118	1	(6,40]	50	283	333	295	295	277	18	295	0	0
subsample_0119	1	[0,2]	59	11	70	4	4	4	0	4	0	0
subsample_0119	1	(2,6]	38	40	78	16	16	16	0	16	0	0
subsample_0119	1	(6,40]	80	384	464	362	362	320	42	362	0	0
subsample_0120	1	[0,2]	156	21	177	4	4	4	0	4	0	0
subsample_0120	1	(2,6]	84	232	316	5	5	5	0	5	0	0
subsample_0120	1	(6,40]	13	232	245	262	262	245	17	262	0	0
subsample_0121	1	[0,2]	117	3	120	3	3	3	0	3	0	0
subsample_0121	1	(2,6]	55	95	150	9	9	9	0	9	0	0
subsample_0121	1	(6,40]	42	256	298	216	216	206	10	216	0	0
subsample_0122	1	[0,2]	127	21	148	0	0	0	0	0	0	0
subsample_0122	1	(2,6]	36	144	180	3	3	3	0	3	0	0
subsample_0122	1	(6,40]	47	345	392	348	348	328	20	348	0	0
subsample_0123	1	[0,2]	121	13	134	0	0	0	0	0	0	0
subsample_0123	1	(2,6]	39	115	154	0	0	0	0	0	0	0
subsample_0123	1	(6,40]	58	289	347	393	393	373	20	393	0	0
subsample_0124	1	[0,2]	98	7	105	0	0	0	0	0	0	0
subsample_0124	1	(2,6]	43	117	160	12	12	12	0	12	0	0
